attackOnlyFrames,attackUsedFrames,character,displayName,nonAttackUsedFrames,note,sharedAttackNonAttackFrames,totalFrames,unusedFrames,usedFrames,usedPercent
10,18,allen-walker,Allen Walker,52,,8,465,403,62,13.33
10,12,anna-kyoyama,Anna Kyoyama,48,,2,190,132,58,30.53
18,19,arale-norimaki,Arale Norimaki,49,,1,184,117,67,36.41
0,0,astra,Astra,0,missing frames.json,0,0,0,0,0
20,22,bobobo-bo-bo-bobo,Bobobo-bo Bo-bobo,61,,2,404,323,81,20.05
20,32,caramelman-j,Caramelman J,70,,12,136,46,90,66.18
0,31,cygnus-hyoga,Cygnus Hyōga,32,,31,35,3,32,91.43
0,0,dax,Dax,0,missing frames.json,0,0,0,0,0
18,19,dio,DIO,56,,1,209,135,74,35.41
30,35,don-patch-poppa-rocks,Don Patch _ Poppa Rocks,56,,5,381,295,86,22.57
34,35,dr-mashirito,Dr. Mashirito,53,,1,280,193,87,31.07
0,21,dragon-shiryu,Dragon Shiryū,23,,21,24,1,23,95.83
25,27,eve,Eve,56,,2,204,123,81,39.71
47,51,franky,Franky,61,,4,244,136,108,44.26
39,40,frieza,Frieza,51,,1,178,88,90,50.56
37,38,fuusuke,Fuusuke,62,,1,211,112,99,46.92
34,40,gintoki-sakata,Gintoki Sakata,59,,6,280,187,93,33.21
21,22,gohan-super-saiyan,Gohan (Super Saiyan),48,,1,150,81,69,46.0
10,18,gohan-super-saiyan-2,Gohan (Super Saiyan 2),52,,8,157,95,62,39.49
38,47,goku,Goku,50,,9,222,134,88,39.64
37,46,goku-super-saiyan,Goku (Super Saiyan),49,,9,191,105,86,45.03
56,57,gon-freecss,Gon Freecss,59,,1,202,87,115,56.93
30,31,gotenks,Gotenks,50,,1,209,129,80,38.28
5,10,gotenks-super-saiyan,Gotenks (Super Saiyan),50,,5,183,128,55,30.05
36,45,heihachi-edajima,Heihachi Edajima,60,,9,188,92,96,51.06
27,36,hiei,Hiei,55,,9,179,97,82,45.81
34,42,ichigo-kurosaki,Ichigo Kurosaki,53,,8,436,349,87,19.95
53,57,jaguar-junichi,Jaguar Junichi,52,,4,242,137,105,43.39
35,40,jotaro-kujo,Jotaro Kujo,64,,5,194,95,99,51.03
57,62,kagura,Kagura,58,,5,224,109,115,51.34
28,29,kakashi-hatake,Kakashi Hatake,53,,1,449,368,81,18.04
31,32,kazuki-muto,Kazuki Muto,57,,1,315,227,88,27.94
53,60,kenshin-himura,Kenshin Himura,60,,7,466,353,113,24.25
78,79,kenshiro,Kenshiro,55,,1,282,149,133,47.16
52,62,killua-zoldyck,Killua Zoldyck,62,,10,231,117,114,49.35
56,60,kinnikuman,Kinnikuman,55,,4,303,192,111,36.63
62,67,kiro,Naruto,40,,5,521,419,102,19.58
45,54,kurama,Kurama,65,,9,219,109,110,50.23
47,53,lenalee-lee,Lenalee Lee,60,,6,247,140,107,43.32
32,34,majin-buu,Majin Buu,67,,2,222,123,99,44.59
33,41,momotaro-tsurugi,Momotaro Tsurugi,57,,8,229,139,90,39.3
51,57,monkey-d-luffy,Monkey D. Luffy,55,,6,188,82,106,56.38
24,31,monkey-d-luffy-2nd-gear,Monkey D. Luffy (2nd Gear),50,,7,230,156,74,32.17
49,59,nami,Nami,58,,10,176,69,107,60.8
38,47,nami-perfect-clima-tact,Nami (Perfect Clima-Tact),57,,9,177,82,95,53.67
43,51,naruto-uzumaki-nine-tails-kyubi,Naruto Uzumaki (Nine-Tails_Kyubi),73,,8,205,89,116,56.59
0,8,near,Near,17,,8,33,16,17,51.52
50,59,neuro-nogami,Neuro Nogami,69,,9,220,101,119,54.09
80,87,nico-robin,Nico Robin,59,,7,255,116,139,54.51
33,37,pegasus-seiya,Pegasus Seiya,59,,4,380,288,92,24.21
31,34,piccolo,Piccolo,45,,3,162,86,76,46.91
45,51,raoh,Raoh,60,,6,198,93,105,53.03
35,38,renji-abarai,Renji Abarai,60,,3,197,102,95,48.22
67,75,riven,Sasuke,45,,8,209,97,112,53.59
68,77,roronoa-zoro,Roronoa Zoro,60,,9,207,79,128,61.84
24,28,rukia-kuchiki,Rukia Kuchiki,59,,4,214,131,83,38.79
47,48,ryotsu-kankichi,Ryotsu Kankichi,62,,1,214,105,109,50.93
61,62,sakura-haruno,Sakura Haruno,59,,1,206,86,120,58.25
54,60,sanji-vinsmoke,Sanji Vinsmoke,56,,6,593,483,110,18.55
0,14,seto-kaiba,Seto Kaiba,28,,14,43,15,28,65.12
0,11,sven-vollfied,Sven Vollfied,28,,11,35,7,28,80.0
35,44,taikoubou,Taikoubou,58,,9,210,117,93,44.29
0,0,taizo-momote,Taizo Momote,24,,0,24,0,24,100.0
59,60,toshiro-hitsugaya,Tōshirō Hitsugaya,62,,1,226,105,121,53.54
43,51,train-heartnet,Train Heartnet,55,,8,220,122,98,44.55
29,30,vegeta,Vegeta,52,,1,147,66,81,55.1
20,23,vegeta-super-saiyan,Vegeta (Super Saiyan),53,,3,185,112,73,39.46
29,34,vegito,Vegito,55,,5,176,92,84,47.73
1,15,yasutora-sado,Yasutora Sado,25,,14,26,0,26,100.0
37,46,yoh-asakura,Yoh Asakura,54,,9,191,100,91,47.64
52,62,yoh-asakura-power-sword,Yoh Asakura (Power Sword),55,,10,163,56,107,65.64
31,41,yugi-mutou,Yugi Mutou,58,,10,150,61,89,59.33
40,49,yusuke-urameshi,Yusuke Urameshi,57,,9,226,129,97,42.92
